SN,Commodity,Date,Unit,Minimum,Maximum,Average
0,Tomato Big(Nepali),6/16/2013,Kg,35,40,37.5
1,Tomato Small(Local),6/16/2013,Kg,26,32,29
2,Potato Red,6/16/2013,Kg,20,21,20.5
3,Potato White,6/16/2013,Kg,15,16,15.5
4,Onion Dry (Indian),6/16/2013,Kg,28,30,29
5,Carrot(Local),6/16/2013,Kg,30,35,32.5
6,Cabbage(Local),6/16/2013,Kg,6,10,8
7,Cauli Local,6/16/2013,Kg,30,35,32.5
8,Raddish Red,6/16/2013,Kg,35,40,37.5
9,Raddish White(Local),6/16/2013,Kg,25,30,27.5
10,Brinjal Long,6/16/2013,Kg,16,18,17
11,Brinjal Round,6/16/2013,Kg,20,22,21
12,Cow pea(Long),6/16/2013,Kg,20,25,22.5
13,Green Peas,6/16/2013,Kg,55,60,57.5
14,French Bean(Local),6/16/2013,Kg,25,30,27.5
15,Soyabean Green,6/16/2013,Kg,60,70,65
16,Bitter Gourd,6/16/2013,Kg,14,16,15
17,Bottle Gourd,6/16/2013,Kg,15,20,17.5
18,Pointed Gourd(Local),6/16/2013,Kg,30,35,32.5
19,Snake Gourd,6/16/2013,Kg,25,30,27.5
20,Smooth Gourd,6/16/2013,Kg,20,25,22.5
21,Sponge Gourd,6/16/2013,Kg,45,50,47.5
22,Pumpkin,6/16/2013,Kg,18,20,19
23,Squash(Long),6/16/2013,Kg,30,35,32.5
24,Turnip,6/16/2013,Kg,45,50,47.5
25,Okara,6/16/2013,Kg,20,25,22.5
26,Christophine,6/16/2013,Kg,38,40,39
27,Brd Leaf Mustard,6/16/2013,Kg,45,50,47.5
28,Spinach Leaf,6/16/2013,Kg,50,55,52.5
29,Cress Leaf,6/16/2013,Kg,55,60,57.5
30,Mustard Leaf,6/16/2013,Kg,40,45,42.5
31,Fenugreek Leaf,6/16/2013,Kg,55,60,57.5
32,Onion Green,6/16/2013,Kg,40,45,42.5
33,Mushroom(Kanya),6/16/2013,Kg,150,160,155
34,Asparagus,6/16/2013,Kg,100,150,125
35,Neuro,6/16/2013,Kg,50,60,55
36,Brocauli,6/16/2013,Kg,70,80,75
